6,487,12198
8,900,2812
21,363,8973
22,418,10694
11,131,1488
8,558,6089
9,475,12066
20,323,12236
0,757,7219
26,886,994
17,1119,12188
17,1275,4004
12,335,8167
17,817,6284
18,1295,6994
4,484,11114
6,706,12267
27,216,12323
26,1401,3904
8,41,6024
27,216,12323
25,211,10587
10,90,11215
4,1235,4976
11,660,9780
21,1051,759
7,1328,5612
4,707,12040
3,1229,7251
27,548,1119
25,843,5236
20,953,6651
6,706,11722
10,405,5132
18,256,3430
21,336,5107
13,305,5956
17,303,4121
6,1210,9423
4,1218,2175
10,825,7934
7,728,5682
17,1030,1525
10,1207,8379
6,724,7981
7,157,5265
20,261,11561
26,1028,5591
10,1097,399
26,762,742
20,261,2189
10,825,8577
8,463,8236
10,661,8482
10,417,9845
17,618,2018
10,804,5797
30,73,12532
17,1183,12265
13,221,7919
6,1210,1547
8,440,4222
6,139,2223
7,1356,11548
26,39,9133
9,230,2078
27,390,24
9,546,12341
10,83,8021
17,1183,1113
6,287,3107
26,39,10795
17,1322,5359
6,981,7008
6,1253,5667
10,310,8321
20,136,4769
16,350,320
5,82,8819
10,90,11215
0,1274,4190
7,4,3979
17,1183,3257
25,1065,3930
6,1108,5245
11,765,3900
26,1110,4418
4,1095,6902
4,1202,5735
17,409,1701
5,853,1474
3,720,6531
6,376,12081
16,1012,6032
8,1225,3244
7,895,2140
8,1008,11555
10,1397,3396
21,477,4348
13,569,9184
4,369,911
7,964,512
20,517,269
4,474,11771
6,818,10038
3,574,4163
15,914,159
7,749,11262
26,39,11246
13,1035,7069
21,111,2181
6,262,4256
13,1365,10314
3,1387,8014
27,422,9497
6,187,9769
17,1183,3022
13,569,3291
22,942,452
13,523,12561
3,1387,8014
13,239,9298
18,751,8804
4,369,10737
26,110,11672
6,1022,8440
6,464,2800
20,236,141
4,699,5552
14,248,11001
22,355,10944
19,1070,4670
20,863,11793
7,157,6114
17,1196,2198
20,254,10698
27,1394,4411
10,127,1307
1,1169,8127
25,1186,3206
20,953,5878
26,39,633
8,1414,266
6,539,12168
26,110,7692
17,367,4869
10,575,9093
1,871,3175
20,672,313
8,1009,450
16,352,1413
21,727,6358
1,907,9117
20,1112,5573
27,1106,6656
20,190,9386
10,337,296
27,422,11125
25,745,3003
26,1028,5591
17,876,6007
20,1217,3908
21,324,6637
8,426,6408
10,575,1463
0,1274,2521
24,628,6963
7,675,277
30,73,10557
4,388,12059
27,1155,11652
30,795,1786
8,1414,11124
21,9,9101
27,1394,6663
10,87,10522
3,720,9139
20,158,2452
26,896,773
22,816,6854
6,592,8546
20,158,9229
26,896,9195
30,1391,3001
6,516,8770
28,121,11050
17,618,8632
17,721,6677
17,1067,3219
10,1382,8286
26,432,2370
30,795,1916
20,1021,10526
3,1006,4570
21,782,3897
27,548,6721
25,889,9084
20,500,9647
13,239,6349
13,606,1236
25,296,1952
8,501,7386
11,765,7376
4,1276,359
17,1381,12162
11,660,4821
13,1310,4214
10,1207,12014
25,745,2704
4,40,2797
20,497,9251
11,883,425
6,770,6581
3,574,1256
7,969,6746
20,270,5471
11,883,2822
7,749,11262
11,161,5988
13,221,2395
10,960,4657
10,661,9789
12,402,4955
6,457,11565
17,992,11870
